"","x"
"1",24.1363038996639
"2",35.2357393127353
"3",25.5868609393215
"4",52.6674058605211
"5",33.0574729108055
"6",10.7988518324799
"7",44.3696065501272
"8",19.3818914676606
"9",22.7197831425391
"10",25.1012691566308
"11",24.7790801930984
"12",33.1748548541043
"13",16.9987777435172
"14",39.512669640755
"15",32.7215030791162
"16",8.74886631883823
"17",36.1210499607139
"18",18.1518754328701
"19",34.9869962269019
"20",13.1684888099535
"21",26.9490834616581
"22",24.9783718367513
"23",25.1316390398117
"24",27.351998909806
"25",44.2176674445385
"26",9.42433803719571
"27",60.6938421890794
"28",25.2701976973013
"29",51.3402184001683
"30",29.2894051605774
"31",16.4989490373141
"32",25.6724311574925
"33",27.151718131374
"34",28.3940072888533
"35",25.1799516366966
"36",14.0965240808543
"37",40.339819671818
"38",25.2767213187593
"39",12.8329280601945
"40",40.6244001054506
"41",33.3561097440181
"42",36.6478086847869
"43",29.3983095724824
"44",13.7409702005268
"45",22.1665077695346
"46",13.7176089684296
"47",34.2669441916938
"48",29.6193190093749
"49",31.2967943568012
"50",41.5335074177823
"51",28.2999331778998
"52",21.9851445772004
"53",29.4855821793253
"54",34.0683483195438
"55",32.7341133753022
"56",20.8135357266
"57",15.321426068291
"58",31.7033474474876
"59",14.5101954207215
"60",17.2233536547341
"61",17.5568262140797
"62",22.6094254815789
"63",21.6492492624449
"64",12.0027107080988
"65",39.4223901036224
"66",21.3446920258953
"67",29.4765608204823
"68",15.0082111562361
"69",23.5033023227651
"70",17.5045682444959
"71",33.3127769271321
"72",33.5998440330398
"73",30.3942094683631
"74",37.6895063173871
"75",42.0135350316422
